stop_id,stop_code,stop_name,stop_lat,stop_lon
3691,3691,EB Evanston VW @ Evansmeade WY NW,51.164742,-114.114022
3692,3692,NB Evanston VW @ Evansford RD NW,51.167153,-114.112575
3693,3693,NB Symons Valley PY @ E. Leg Evanston VW NW,51.168707,-114.112086
3694,3694,NB Symons Valley PY @ Evansford CL NW,51.170977,-114.10938
3698,3698,SB Evanspark BV @ Evanston DR NW,51.173301,-114.118112
3699,3699,SB Evanspark BV @ Evansview GA NW,51.170095,-114.118084
3700,3700,WB Symons Valley PY @ Evanspark BV NW,51.168259,-114.118847
3701,3701,SB Cortina DR @ Cortina WY SW,51.033659,-114.22069
3702,3702,EB St Moritz DR @ Val Gardena PL SW,51.032261,-114.214483
3703,3703,NB 77 ST SW @ Wentworth DR,51.054582,-114.199285
3704,3704,NB 77 ST SW @ 9 AV SW,51.059809,-114.199312
3705,3705,NB 77 ST SW @ Weston DR,51.063513,-114.19926
3706,3706,EB Old Banff Coach RD @ 77 ST SW,51.066833,-114.19816
3707,3707,SB 77 ST SW @ Weston DR,51.063063,-114.199601
3708,3708,SB 77 ST SW @ 9 AV SW,51.059438,-114.199606
3709,3709,SB 77 ST SW @ 10 AV SW,51.057622,-114.19963
3710,3710,NB 77 ST SW @ 10 AV SW,51.058045,-114.199262
3711,3711,Westbrook LRT Station,51.040415,-114.135588
3713,3713,NB 85 ST SW @ Strathlea AV,51.049153,-114.210701
3714,3714,NB 85 ST SW @ Wentworth DR,51.05724,-114.210743
3715,3715,NB 85 ST SW @ 8 AV SW,51.063482,-114.210753
3716,3716,NB 85 ST SW @ 9 AV SW,51.05993,-114.210766
3717,3717,EB Old Banff Coach RD @ 89 ST SW,51.067002,-114.21578
3718,3718,SB 85 ST SW @ Old Banff Coach RD,51.066516,-114.211213
3719,3719,SB 85 ST SW  @ 8 AVE SW,51.063115,-114.211174
3720,3720,SB 85 ST SW @ 14 AV SW,51.044964,-114.211181
3721,3721,SB 85 ST SW @ Aspen Summit BV,51.043012,-114.211184
3722,3722,SB 85 ST SW @ Aspen Stone BV,51.040196,-114.211139
3723,3723,WB Airport RD @ Barlow TR NE,51.134294,-114.002804
3724,3724,SB 45 Street West LRT Station,51.038187,-114.152867
3725,3725,SB 45 ST SW @ Grove Hill RD,51.033182,-114.152866
3726,3726,SB Sierra Morena BV @ S Morena CL SW,51.014523,-114.176277
3727,3727,WB Sierra Morena BV @ Sierra Madre CR SW,51.013131,-114.177844
3728,3728,WB Sierra Morena BV @ Sierra Nevada CL SW,51.013395,-114.181678
3729,3729,NB Sierra Morena BV @ Sierra Morena PA SW,51.014927,-114.185564
3730,3730,NB Sierra Morena BV @ Sierra Morena GV SW,51.017071,-114.185662
3731,3731,NB Sierra Morena BV @ Sierra Morena CO SW,51.019532,-114.185912
3732,3732,EB 17 AV SW @ 69 Street West LRT Station,51.037636,-114.186199
3733,3733,NB 45 ST SW @ N. OF Richmond RD,51.019599,-114.152695
3734,3734,NB 45 ST SW @ 35 AV SW,51.022677,-114.152378
3735,3735,NB 45 ST SW @ 30 AV SW,51.027281,-114.152309
3736,3736,NB 45 ST SW @ 26 AV SW,51.030753,-114.152681
3737,3737,NB 45 ST SW @ 25 AV SW,51.033109,-114.152665
3738,3738,NB 45 Street West LRT Station,51.038227,-114.152665
